@relation derived_cust_fin_validate_R_Feb14-2015_weka-weka.filters.unsupervised.attribute.Remove-R18-19-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute spatial-radial_div numeric
@attribute spatial-radial_loy numeric
@attribute spatial-radial_reg numeric
@attribute weekly_div numeric
@attribute weekly_loy numeric
@attribute weekly_reg numeric
@attribute hourly_div numeric
@attribute hourly_loy numeric
@attribute hourly_reg numeric
@attribute spatial-grid_div numeric
@attribute spatial-grid_loy numeric
@attribute spatial-grid_reg numeric
@attribute age numeric
@attribute gender {Male,Female}
@attribute marital {Married,Single,Divorced,Unknown}
@attribute education {'High School','Middle School',College,'Primary School',Master,PHD,Unknown}
@attribute working {'Private Sector Employee','Public Servant','Self-Employed - Retail','Retiree & Non-Employed','Self-Employed - Service',Non-Employed,'Retiree & Private Sector Employee','Self-Employed - Manufacture',Unknown,'Other Income',Housewife,'Retiree & Public Servant',Student,'Retiree & Self -Employed'}
@attribute Trouble {0,1}

@data
0.924554,0.701754,0.962118,0.976604,0.54717,0.944745,0.923226,0.339623,0.937507,0.908584,0.403509,0.879358,40,Male,Married,College,'Public Servant',0
0.645811,0.952381,0.976351,0.979549,0.554545,0.921737,0.937608,0.318182,0.88516,0.912215,0.404762,0.944147,29,Male,Single,'High School','Private Sector Employee',0
0.729202,0.734266,0.945457,0.977806,0.538793,0.975331,0.935035,0.314655,0.977058,0.841107,0.405594,0.910728,29,Male,Single,College,'Public Servant',0
?,?,?,0.986503,0.513761,0.921445,0.948226,0.293578,0.935333,0.878796,0.40678,0.86368,58,Male,Divorced,'Primary School','Retiree & Private Sector Employee',0
0.835274,0.74359,0.903205,0.960697,0.588235,0.892461,0.94827,0.338235,0.813987,0.910763,0.410256,0.899167,51,Male,Married,College,'Self-Employed - Retail',0
0.735719,1,0.990248,0.980145,0.5,0.816622,0.945909,0.375,0.90953,0.965418,0.411765,0.991105,30,Male,Married,College,'Public Servant',0
0.884862,0.833333,0.969723,0.926631,0.619048,0.965859,0.927873,0.52381,0.941598,0.978838,0.416667,0.907373,42,Male,Married,College,'Private Sector Employee',0
0.864787,0.916667,0.385671,0.90447,0.727273,0.806905,0.901327,0.545455,0.671102,0.978838,0.416667,0.19427,30,Male,Married,'High School','Private Sector Employee',0
0,1,1,0.96599,0.555556,0.248113,0.938821,0.444444,0.228629,0.978838,0.416667,0.19427,28,Male,Single,'High School','Public Servant',0
0.249882,1,0.823307,0.986022,0.518868,0.963675,0.743931,0.613208,0.905005,0.94166,0.416667,0.928069,33,Male,Single,'High School','Self-Employed - Service',0
0.65695,0.888889,0.844856,0.892243,0.734375,0.882941,0.902665,0.34375,0.796172,0.926021,0.416667,0.858902,43,Male,Married,College,'Private Sector Employee',0
0.84663,0.701493,0.889535,0.973438,0.552239,0.962271,0.928955,0.350746,0.948557,0.872981,0.41791,0.916115,48,Male,Married,College,'Retiree & Non-Employed',0
0.884921,0.651163,0.914581,0.927301,0.649351,0.992946,0.889804,0.428571,0.956822,0.913317,0.418605,0.81689,30,Male,Single,College,'Private Sector Employee',0
0.712463,0.849462,0.993306,0.960637,0.575758,0.965441,0.948545,0.252525,0.900676,0.863586,0.419355,0.816208,52,Male,Divorced,College,'Private Sector Employee',0
0.656737,0.935484,0.983789,0.986867,0.514286,0.927762,0.927118,0.371429,0.959593,0.948373,0.419355,0.866462,26,Male,Single,College,'Private Sector Employee',0
0.875966,0.842105,0.84545,0.910923,0.660377,0.935436,0.966399,0.283019,0.930756,0.93883,0.421053,0.986438,58,Male,Married,College,'Retiree & Non-Employed',0
0.883316,0.631579,0.882444,0.961746,0.581395,0.841759,0.920011,0.418605,0.930944,0.95003,0.421053,0.873992,25,Male,Married,'High School','Private Sector Employee',0
0.816006,0.757576,0.869786,0.965493,0.590909,0.884486,0.935669,0.363636,0.726751,0.915632,0.424242,0.9123,43,Male,Married,'High School','Self-Employed - Retail',0
0.904058,0.638298,0.95992,0.983986,0.511905,0.822664,0.925325,0.327381,0.876012,0.83745,0.425532,0.89239,64,Male,Married,College,'Private Sector Employee',0
?,?,?,0.943159,0.655172,0.973561,0.939925,0.275862,0.868118,0.936637,0.428571,0.973799,24,Male,Single,College,'Public Servant',0
0.815421,0.809524,0.940424,0.883008,0.701754,0.969115,0.953155,0.315789,0.951269,0.933394,0.428571,0.80891,36,Male,Married,College,'Private Sector Employee',0
0.869916,1,0.958537,0.989464,0.555556,0.786504,0.956305,0.444444,0.606738,1,0.428571,0.873731,26,Female,Single,College,'Public Servant',0
0.921185,0.857143,0.884631,0.902508,0.64,0.84589,0.943794,0.44,0.805578,1,0.428571,0.949492,45,Male,Married,'Primary School','Private Sector Employee',0
0.837362,0.73913,0.7729,0.967353,0.551724,0.954046,0.943203,0.327586,0.953872,0.94248,0.434783,0.927303,42,Male,Married,'High School','Public Servant',0
0.727263,0.923077,0.880118,0.953688,0.567164,0.913759,0.953814,0.328358,0.973834,0.925356,0.435897,0.971994,27,Male,Single,College,'Public Servant',1
0.89809,0.875,0.965046,0.978928,0.611111,0.802167,0.934517,0.5,0.948061,0.970944,0.4375,0.922297,32,Female,Single,College,'Public Servant',0
0.988609,0.8125,0.865907,0.913038,0.653846,0.845312,0.956902,0.384615,0.66492,0.964145,0.4375,0.973339,33,Male,Married,College,'Private Sector Employee',0
0.613,0.96875,0.853705,0.974748,0.569767,0.979806,0.92342,0.383721,0.889359,0.922016,0.4375,0.851981,33,Male,Single,College,'Private Sector Employee',0
0.772384,0.813953,0.867229,0.972737,0.582278,0.983157,0.911979,0.392405,0.976592,0.909283,0.44186,0.85032,32,Male,Married,College,'Public Servant',0
0.781695,0.883721,0.91579,0.955023,0.615385,0.927283,0.88249,0.432692,0.968959,0.926247,0.44186,0.957246,44,Male,Married,Master,'Self-Employed - Service',0
0.868907,0.657143,0.893279,0.982687,0.524476,0.949658,0.88957,0.447552,0.962903,0.867832,0.442857,0.815552,35,Female,Single,College,'Private Sector Employee',0
0.828871,0.888889,0.408657,0.956583,0.555556,0.803573,0.93146,0.407407,0.918541,0.982568,0.444444,0.201852,33,Male,Married,College,'Private Sector Employee',0
0.715378,0.962963,0.797045,0.895858,0.690476,0.855371,0.949592,0.357143,0.780921,0.950652,0.444444,0.860995,26,Male,Single,College,'Private Sector Employee',0
0.918296,0.888889,0.886058,0.8863,0.833333,0.978778,0.963687,0.5,0.903001,0.982568,0.444444,0.861956,33,Male,Married,'High School','Private Sector Employee',0
0.737881,0.764706,0.900668,0.969798,0.551181,0.991153,0.923255,0.385827,0.98412,0.868654,0.45098,0.941622,28,Male,Single,College,'Public Servant',0
0.92109,0.636364,0.884179,0.956197,0.609756,0.933652,0.963808,0.292683,0.937564,0.945343,0.454545,0.890692,35,Male,Married,'Middle School','Self-Employed - Retail',1
0.87883,0.636364,0.916453,0.972141,0.583333,0.964588,0.901163,0.427083,0.969797,0.87871,0.454545,0.849925,32,Male,Single,College,'Private Sector Employee',0
0.878741,0.818182,0.365475,0.960992,0.545455,0.661602,0.955413,0.409091,0.582116,0.976615,0.454545,0.963855,20,Male,Single,'High School','Private Sector Employee',0
0.87015,0.875,0.958519,0.929906,0.7,0.965659,0.946694,0.366667,0.934357,0.925169,0.458333,0.812518,51,Male,Married,'High School','Private Sector Employee',0
?,?,?,0.985395,0.539683,0.985764,0.932823,0.396825,0.939557,0.901166,0.46,0.841351,35,Male,Married,College,'Public Servant',0
0.995727,1,0.98248,0.963536,0.541667,0.838682,0.968841,0.333333,0.976806,0.975006,0.461538,0.955367,27,Male,Single,College,'Private Sector Employee',0
0.947354,0.769231,0.83682,0.959901,0.578947,0.84369,0.973019,0.368421,0.694709,0.957526,0.461538,0.971687,41,Male,Married,'High School','Self-Employed - Service',1
0.889827,0.769231,0.962832,0.964956,0.573171,0.948848,0.925306,0.390244,0.970899,0.898407,0.461538,0.820179,28,Male,Married,College,'Private Sector Employee',0
0.792783,0.857143,0.851668,0.977849,0.54717,0.891685,0.961902,0.264151,0.76213,0.902159,0.464286,0.787995,45,Male,Divorced,'Middle School','Private Sector Employee',0
0.865846,0.75,0.957871,0.901952,0.666667,0.973428,0.956719,0.333333,0.88214,0.909558,0.464286,0.823852,49,Male,Married,College,'Public Servant',0
0.885601,0.733333,0.962564,0.954182,0.59375,0.981496,0.93754,0.40625,0.965349,0.960629,0.466667,0.821539,45,Male,Married,'Primary School','Private Sector Employee',0
0.944623,0.866667,0.325429,0.963328,0.571429,0.795784,0.948876,0.371429,0.945783,0.946082,0.466667,0.232043,43,Male,Married,College,'Self-Employed - Service',0
0.643392,0.966667,0.838099,0.968028,0.56,0.768903,0.939196,0.4,0.899905,0.923112,0.466667,0.868982,25,Female,Single,College,'Public Servant',0
0.781077,0.866667,0.992448,0.932332,0.673077,0.951237,0.93683,0.346154,0.768306,0.912419,0.466667,0.841984,30,Male,Single,College,'Private Sector Employee',0
0.839511,0.84375,0.916887,0.927889,0.678571,0.913991,0.930279,0.357143,0.95093,0.940218,0.46875,0.844154,70,Male,Married,'High School','Self-Employed - Service',0
?,?,?,0.962235,0.585366,0.988927,0.909842,0.402439,0.970941,0.899177,0.46875,0.770964,30,Male,Single,College,'Public Servant',0
0.806755,0.90625,0.98465,0.959881,0.577586,0.977606,0.891911,0.37069,0.977015,0.876342,0.46875,0.857534,50,Male,Married,College,'Private Sector Employee',0
0.851694,0.78125,0.842267,0.955046,0.571429,0.901497,0.929026,0.428571,0.886426,0.921691,0.46875,0.843234,44,Male,Married,College,'Private Sector Employee',0
0.769898,0.941176,0.883948,0.974551,0.540541,0.841999,0.940623,0.405405,0.90184,0.906449,0.470588,0.805272,34,Male,Single,'Primary School','Private Sector Employee',0
?,?,?,0.9714,0.57971,0.923041,0.93934,0.347826,0.836411,0.891775,0.472222,0.815108,37,Male,Divorced,'High School','Public Servant',0
0.861486,0.894737,0.904371,0.973845,0.548387,0.82185,0.954374,0.306452,0.50957,0.938947,0.473684,0.980661,41,Male,Married,College,'Self-Employed - Retail',0
0.665199,0.929825,0.825119,0.976304,0.566176,0.942315,0.927997,0.301471,0.976509,0.862396,0.473684,0.933929,41,Male,Married,'High School','Public Servant',0
0.728211,0.842105,0.473112,0.925967,0.655172,0.750614,0.922793,0.413793,0.581909,0.897489,0.473684,0.925163,31,Male,Married,College,'Private Sector Employee',1
0.761479,0.894737,0.456433,0.864378,0.730769,0.907798,0.92704,0.461538,0.915075,0.945726,0.473684,0.893595,27,Male,Married,College,'Private Sector Employee',0
0.862291,0.73913,0.902842,0.973645,0.555556,0.889613,0.870794,0.555556,0.949138,0.957055,0.478261,0.873726,25,Male,Single,'High School','Private Sector Employee',1
0.793404,0.826087,0.847636,0.919584,0.741935,0.91074,0.946746,0.419355,0.765669,0.944549,0.478261,0.776208,49,Male,Married,Master,'Private Sector Employee',0
0.770611,0.804348,0.906836,0.971683,0.535714,0.963046,0.896465,0.446429,0.956528,0.907156,0.478261,0.886511,35,Male,Married,Master,'Public Servant',0
?,?,?,0.959212,0.589744,0.99535,0.950631,0.358974,0.899011,0.937334,0.478261,0.942194,32,Female,Single,College,'Public Servant',0
0.96501,0.826087,0.927563,0.979276,0.545455,0.87456,0.93178,0.409091,0.914909,0.919023,0.478261,0.833014,26,Female,Single,College,'Private Sector Employee',1
0.304221,1,0.828828,0.990161,0.520661,0.881843,0.925898,0.31405,0.969739,0.941888,0.48,0.800714,57,Male,Married,College,'Private Sector Employee',0
0.866726,1,0.909982,0.98233,0.533333,0.935882,0.957556,0.275,0.84908,0.882501,0.480769,0.80913,30,Male,Single,'High School','Private Sector Employee',0
0.957308,0.666667,0.879315,0.88112,0.735294,0.916729,0.938988,0.470588,0.895293,0.927229,0.481481,0.895062,25,Female,Single,College,'Private Sector Employee',0
0,1,1,0.830655,0.810811,0.858371,0.932244,0.432432,0.598585,0.917354,0.482759,0.879256,29,Male,Single,College,'Public Servant',1
0.872499,0.774194,0.911869,0.940794,0.58209,0.937361,0.953165,0.343284,0.966013,0.928982,0.483871,0.833843,32,Male,Married,'Primary School','Public Servant',0
?,?,?,0.966471,0.6,0.805306,0.919726,0.4,0.708288,0.920979,0.484848,0.811293,39,Female,Single,College,'Private Sector Employee',0
0.922397,0.588235,0.83301,0.978453,0.536,0.991927,0.859761,0.448,0.896403,0.889868,0.490196,0.918473,36,Male,Married,College,'Private Sector Employee',0
0.838448,0.909091,0.932908,0.961809,0.568493,0.974371,0.84478,0.445205,0.920587,0.847139,0.490909,0.929522,37,Male,Single,College,'Private Sector Employee',0
0.890206,0.596491,0.897101,0.987373,0.511111,0.902227,0.87485,0.42963,0.882841,0.856101,0.491228,0.844644,29,Male,Single,College,'Private Sector Employee',0
0.908064,0.8125,?,0.879657,0.75,0.822919,0.929274,0.458333,0.616359,0.968546,0.5,?,30,Male,Single,'High School','Private Sector Employee',0
0.882623,0.888889,0.933133,0.891297,0.685714,0.905911,0.917034,0.457143,0.873126,0.949816,0.5,0.881964,28,Female,Single,College,'Private Sector Employee',0
0.702221,0.864865,0.891559,0.973063,0.533333,0.983832,0.946475,0.277778,0.975615,0.858388,0.5,0.83869,38,Male,Single,PHD,'Private Sector Employee',0
0.793655,0.764706,0.942093,0.942183,0.637931,0.912248,0.936876,0.362069,0.980907,0.914717,0.5,0.863299,40,Male,Married,'High School','Self-Employed - Retail',0
0.959639,0.75,0.964632,0.94125,0.636364,0.860148,0.954966,0.5,0.764279,0.969565,0.5,0.929028,48,Female,Married,'Primary School','Private Sector Employee',0
0.905639,0.875,0.353545,0.957929,0.6,0.715597,0.922177,0.6,0.711854,0.97957,0.5,0.222325,52,Male,Married,'High School','Private Sector Employee',0
0.749595,1,0.469956,0.913264,0.64,0.743284,0.953415,0.36,0.827127,0.958745,0.5,0.878592,54,Male,Married,'Primary School','Retiree & Non-Employed',0
0.779087,0.833333,0.804321,0.942023,0.606061,0.718442,0.951625,0.333333,0.527356,0.926449,0.5,0.947992,41,Male,Married,'High School',Non-Employed,0
0.805289,0.928571,0.905468,0.926539,0.642857,0.908141,0.953821,0.357143,0.720295,0.958745,0.5,0.878592,34,Male,Married,PHD,'Public Servant',0
0.896241,0.833333,0.355397,0.700577,0.857143,0.765413,0.957879,0.5,0.645194,1,0.5,0.209431,26,Male,Single,College,'Private Sector Employee',0
0.805289,0.928571,0.937833,0.940926,0.666667,0.780068,0.929482,0.571429,0.968678,0.958745,0.5,0.823124,51,Male,Married,'High School','Private Sector Employee',0
0.928383,0.75,0.816113,0.929723,0.631579,0.827035,0.961534,0.421053,0.957571,0.97957,0.5,0.985554,33,Male,Married,'Primary School','Private Sector Employee',0
0.742464,0.85,0.464392,0.93686,0.633333,0.740395,0.927296,0.466667,0.619388,0.939794,0.5,0.247267,50,Male,Married,College,'Private Sector Employee',0
0.898244,0.7,0.775998,0.975664,0.583333,0.702593,0.951796,0.583333,0.703407,0.973976,0.5,0.880721,30,Male,Married,'High School','Private Sector Employee',0
0.979869,1,0.817608,0.992928,0.481481,0.886117,0.927663,0.444444,0.927078,0.973197,0.5,0.928762,55,Female,Married,'High School','Private Sector Employee',0
0.833711,0.714286,0.90063,0.954304,0.611111,0.989178,0.921353,0.351852,0.850391,0.844267,0.5,0.798743,55,Male,Married,Master,'Public Servant',0
?,?,?,0.9761,0.557692,0.977248,0.909132,0.403846,0.952398,0.938431,0.5,0.848378,30,Male,Single,College,'Private Sector Employee',0
0.907198,0.833333,0.919084,0.918375,0.666667,0.862467,0.903609,0.452381,0.962655,0.904197,0.5,0.832426,45,Male,Married,'High School','Private Sector Employee',0
0.9536,0.888889,0.914857,0.979278,0.564103,0.84355,0.871084,0.512821,0.885679,0.951718,0.5,0.877303,27,Female,Divorced,'High School','Private Sector Employee',0
0.882623,0.888889,0.964681,0.952964,0.588235,0.961358,0.96721,0.323529,0.87521,0.951718,0.5,0.847577,26,Male,Single,College,'Private Sector Employee',1
?,?,?,0.973142,0.564103,0.95663,0.936003,0.333333,0.955553,0.918885,0.5,0.800176,35,Male,Married,College,'Public Servant',0
0.611145,0.9,0.924134,0.939838,0.642857,0.955112,0.928897,0.5,0.928621,0.926077,0.5,0.92511,34,Male,Single,College,'Private Sector Employee',0
0.785475,0.9,0.880946,0.844741,0.933333,0.945406,0.928361,0.666667,0.958378,0.948813,0.5,0.962826,40,Male,Married,'High School','Private Sector Employee',0
0.806772,0.8,0.838078,0.846475,0.833333,0.875496,0.933085,0.4,0.809667,0.947562,0.5,0.876453,32,Male,Married,College,'Private Sector Employee',0
0.692695,0.806452,0.49143,0.969295,0.546512,0.877606,0.905694,0.325581,0.872146,0.832265,0.5,0.947094,29,Female,Married,College,'Private Sector Employee',0
0.968191,0.642857,0.856166,0.965648,0.5625,0.967218,0.953672,0.354167,0.973712,0.916295,0.5,0.863839,37,Male,Married,College,'Private Sector Employee',0
0.819448,1,0.928461,0.898374,0.666667,0.94315,0.953352,0.5,0.911076,0.97957,0.5,0.763855,38,Male,Married,College,'Private Sector Employee',1
0.942631,0.75,0.822388,0.971809,0.55,0.959412,0.895043,0.55,0.917793,0.953352,0.5,0.87957,31,Male,Single,'High School','Private Sector Employee',0
0.78969,1,?,0.976411,0.631579,0.738954,0.942591,0.473684,0.862199,1,0.5,?,51,Male,Divorced,College,'Retiree & Non-Employed',0
0.819448,1,0.420562,0.898244,0.7,0.775998,0.942681,0.6,0.714268,0.97957,0.5,0.222325,31,Male,Single,College,'Private Sector Employee',0
0.858803,0.75,0.796977,0.914804,0.733333,0.807306,0.88208,0.533333,0.936294,0.961045,0.5,0.878973,31,Male,Married,College,'Private Sector Employee',0
0.880082,0.721311,0.872239,0.977598,0.543307,0.974264,0.954414,0.283465,0.993568,0.850535,0.508197,0.860085,54,Male,Married,'High School','Retiree & Non-Employed',0
0.777728,0.847458,0.953827,0.990705,0.505051,0.986553,0.915204,0.353535,0.961216,0.87927,0.508475,0.846692,35,Male,Single,College,'Private Sector Employee',0
0.73553,0.914894,0.920952,0.924868,0.596774,0.934006,0.930265,0.306452,0.881436,0.897828,0.510638,0.87358,38,Male,Married,'High School','Private Sector Employee',0
0.853353,0.697674,0.785494,0.974943,0.564103,0.945164,0.925392,0.410256,0.93421,0.89739,0.511628,0.871013,38,Female,Married,Master,'Private Sector Employee',0
0.75228,0.853659,0.908848,0.980853,0.536,0.92865,0.896237,0.4,0.936592,0.824353,0.512195,0.859543,40,Male,Married,College,'Private Sector Employee',0
0.794461,0.804878,0.421536,0.963431,0.590164,0.709051,0.928756,0.377049,0.556636,0.899154,0.512195,0.276663,27,Male,Single,College,'Public Servant',0
0.866805,0.717949,0.9331,0.952282,0.607843,0.958291,0.968074,0.333333,0.857893,0.882334,0.512821,0.821554,42,Male,Married,College,'Private Sector Employee',0
0.857655,0.769231,0.948549,0.953257,0.583333,0.899633,0.869331,0.4375,0.860135,0.866861,0.512821,0.727113,43,Male,Divorced,College,'Private Sector Employee',0
0.756278,0.757576,0.865673,0.993103,0.493151,0.955785,0.926852,0.363014,0.955734,0.816566,0.515152,0.906106,37,Male,Married,College,'Public Servant',0
0.606991,0.969697,0.881071,0.982208,0.521739,0.924176,0.948787,0.376812,0.997251,0.910714,0.515152,0.869432,37,Male,Married,College,'Private Sector Employee',0
0.757055,0.870968,0.875088,0.98193,0.534884,0.978957,0.877281,0.5,0.960629,0.8821,0.516129,0.804365,31,Male,Married,College,'Public Servant',0
0,1,1,0.963199,0.583333,0.946473,0.956763,0.3,0.966933,0.900449,0.516129,0.82453,29,Male,Married,Master,'Private Sector Employee',1
0.940888,0.62069,0.92265,0.985359,0.534884,0.898473,0.956979,0.325581,0.852297,0.93685,0.517241,0.774008,29,Male,Single,College,'Private Sector Employee',1
0.817966,0.862069,0.937268,0.944591,0.609756,0.903172,0.92552,0.414634,0.954139,0.93685,0.517241,0.846238,36,Male,Single,'High School','Private Sector Employee',0
0.871771,0.685185,0.952771,0.996921,0.471154,0.894587,0.939021,0.288462,0.896471,0.857754,0.518519,0.776357,34,Male,Married,College,'Private Sector Employee',0
?,?,?,0.926275,0.611111,0.761047,0.880439,0.527778,0.912946,0.918078,0.518519,0.915029,29,Male,Married,'High School','Private Sector Employee',0
0.876023,0.688312,0.938025,0.985162,0.544118,0.91889,0.91863,0.338235,0.94948,0.801349,0.519481,0.95036,32,Male,Married,College,'Private Sector Employee',0
0.590593,0.92,0.943081,0.904953,0.65625,0.896245,0.939925,0.40625,0.905894,0.912695,0.52,0.804971,36,Female,Married,College,'Private Sector Employee',0
0.437155,0.96,0.945366,0.944602,0.603774,0.841744,0.9147,0.396226,0.864071,0.905102,0.52,0.866217,43,Female,Married,'High School','Private Sector Employee',0
0.781905,0.8,0.858352,0.981415,0.541667,0.925205,0.913202,0.458333,0.968652,0.926421,0.52,0.832332,37,Female,Divorced,College,'Private Sector Employee',0
